Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.335545799927786,None,space,0.34279350005090237,7.335545799927786,None,,,,,,,,,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,4,0,0,0,1,,,,,,,7.713204199913889,None,9.210824999958277,None,11.210619599907659,None,11.211283380002715,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,4,0,1,1,2,,,,,,,,,11.910932099912316,None,13.91026699997019,None,13.91096938000992,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,4,0,2,2,0,,,,,,,,,14.610876200022176,None,16.610317899961956,None,16.61064397993032,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,4,1,0,3,0,,,,,,,,,17.30992339993827,None,19.310427899938077,None,19.310730979964138,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,4,1,1,4,2,,,,,,,,,20.01012130000163,None,22.00984149996657,None,22.009768279921264,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,4,1,2,5,1,,,,,,,,,22.70966719998978,None,24.70910029998049,None,24.70961197996512,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם איתן גר בישראל?,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,1,1,2,0,0,0,0,,,,,,,25.408866000012495,None,26.909439499955624,None,28.908657499938272,None,28.90934567998629,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,1,1,2,0,1,1,1,,,,,,,,,29.609321299940348,None,31.60838699992746,None,31.60887707998045,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,1,1,2,0,2,2,1,,,,,,,,,32.30828969995491,None,34.30831190000754,None,34.30823877996299,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,1,1,2,1,0,3,2,,,,,,,,,35.00825969991274,None,37.0077235000208,None,37.00812007994391,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,1,1,2,1,1,4,2,,,,,,,,,37.70801770000253,None,39.70814439991955,None,39.707624479965304,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,1,1,2,1,2,5,0,,,,,,,,,40.40774169994984,None,42.407062600017525,None,42.407225280022246,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם יש לך חמישה ילדים?,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,2,2,3,0,0,0,2,,,,,,,43.106901399907656,None,44.60645690001547,None,46.60650320001878,None,46.6069439799292,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,2,2,3,0,1,1,0,,,,,,,,,47.30659419996664,None,49.305899099912494,None,49.306335680023764,None,1,001,2022-03-21_17h21.44.347,TRY1,2022.1.1,60.08405759311593,
,,,,,,,,,,,,,,,,,,,,,50.00611439999193,None,,,,,,,,,,,
